TAZID,CO_TAZID,DEVACRES,HH_19,JOB_19,JOBAUTO_19,HHAUTO_19,JOBTRANSIT_19,HHTRANSIT_19,COMPAUTO_19,COMPTRANSIT_19,HH_30,JOB_30,JOBAUTO_30,HHAUTO_30,JOBTRANSIT_30,HHTRANSIT_30,COMPAUTO_30,COMPTRANSIT_30,HH_40,JOB_40,JOBAUTO_40,HHAUTO_40,JOBTRANSIT_40,HHTRANSIT_40,COMPAUTO_40,COMPTRANSIT_40,HH_50,JOB_50,JOBAUTO_50,HHAUTO_50,JOBTRANSIT_50,HHTRANSIT_50,COMPAUTO_50,COMPTRANSIT_50
440,110440,155.17,372.8,129.7,112364,81825,4055,2605,107438,3821,381.7,145.3,158845,115654,4882,3182,151132,4578,385.7,154.7,166643,128112,8705,7416,159204,8456,387.7,157.5,171461,136338,8927,7797,164490,8703
441,110441,160.79,393.5,59.2,113585,82264,4732,3395,111180,4629,397.7,61.8,161617,116797,5899,4182,157964,5759,406.7,62.5,170045,129348,6471,4915,166628,6341,414.3,62.7,173722,136758,6418,5072,170600,6305
442,110442,160.73,183.5,1577.7,109975,80293,3367,3232,85452,3256,191.3,1607.0,157838,114634,4673,4059,122086,4165,250.8,1556.5,166399,127220,6780,5987,135552,6156,285.5,1525.3,170327,134876,7095,6321,143203,6503
443,110443,160.83,51.5,82.2,110912,80422,3767,3285,96619,3541,139.0,142.3,157532,114306,5109,4097,141585,4736,210.7,201.2,166735,126791,5999,5095,152240,5671,270.2,220.5,168176,132256,6231,5351,156243,5939
444,110444,160.58,318.5,0.3,120348,85438,4721,4435,120330,4721,352.8,1.0,171206,121696,6285,5502,171126,6284,389.7,1.2,179958,134781,7293,6608,179875,7292,404.3,1.5,181796,140652,7474,6893,181703,7473
445,110445,164.52,458.0,54.0,121084,84822,4143,2546,118865,4045,499.5,57.7,169690,119888,4912,3162,166608,4804,520.2,58.3,177889,132228,5217,3649,175028,5119,535.8,59.3,185951,142511,5043,3699,183206,4958
446,110446,168.13,579.8,339.0,140658,92810,8657,4400,128969,7617,614.7,363.0,175539,119152,11041,6099,161319,9794,640.0,469.0,183408,130913,13305,8046,167441,11706,636.5,590.2,189383,138579,13852,8477,171036,11911
447,110447,112.52,316.7,5.5,121623,85173,0,0,121276,0,323.8,6.8,170868,120423,0,0,170271,0,332.2,7.3,178691,132782,0,0,178097,0,339.2,7.7,186828,143167,0,0,186232,0
448,110448,131.34,434.3,741.2,137496,92735,7764,4335,115766,6099,494.8,786.7,188747,129592,9455,5620,160596,7630,512.3,924.5,197161,142989,10660,7107,169078,8818,523.0,924.0,205909,153841,10537,7347,178910,8883
449,110449,168.79,613.7,194.0,137618,93058,7777,4383,130989,7272,710.8,232.8,195634,134386,9661,5780,185984,9049,778.0,264.5,205925,149261,10599,7043,196371,9999,823.0,278.8,213727,159603,10175,7078,204463,9645
450,110450,167.99,588.8,4.7,129156,88965,4422,2751,128979,4415,602.8,5.3,182421,126922,5369,3403,182144,5359,616.8,5.7,190955,140011,5797,3922,190675,5787,629.5,5.8,193802,146645,5696,4016,193538,5687
451,110451,163.8,502.2,1.7,127326,88549,4500,2879,127253,4497,507.5,1.5,183657,128345,5389,3524,183564,5386,518.7,2.2,193748,142666,5785,4043,193619,5781,532.5,5.5,200745,152450,5620,4107,200442,5611
452,110452,165.98,526.2,272.2,139839,93967,7616,4489,129638,6921,572.7,284.0,197838,135321,9348,5838,184041,8573,604.0,291.3,190981,138168,10404,7152,179182,9678,613.3,305.3,196758,146815,10223,7256,185131,9532
453,110453,163.13,441.8,237.2,141520,93441,6048,3275,130516,5413,546.3,303.3,199435,134496,7689,4507,183803,6923,657.5,298.2,209069,148562,9902,6341,196186,9143,696.0,440.8,195369,143117,9664,6449,180814,8769
454,110454,187.13,459.8,343.3,130684,88987,4193,2605,118501,3729,472.8,359.5,182066,125945,5195,3299,165075,4621,489.3,360.2,191879,139317,5561,3811,175841,5027,504.2,360.3,194051,145361,5430,3868,179276,4956
455,110455,132.16,510.8,167.5,148199,97075,7611,4016,140353,7060,580.7,225.3,202244,135928,10588,5972,190216,9751,662.2,303.2,196038,138523,11333,7130,183700,10431,694.3,344.7,203115,147171,11050,7227,190117,10162
456,110456,151.25,223.7,55.8,135724,90357,6070,3273,130226,5731,311.2,67.0,177788,121564,7597,4147,171632,7219,370.5,68.0,190193,136182,8226,4778,184864,7886,399.7,56.3,197766,145345,8469,5011,193620,8196
457,110457,322.31,378.5,226.2,88134,67991,0,0,83132,0,491.7,233.2,128247,96898,0,0,121566,0,575.3,230.2,137600,108948,0,0,132079,0,666.2,230.3,139286,114229,0,0,134925,0
458,110458,321.5,546.8,207.2,101002,75266,3020,2384,96545,2910,724.3,247.2,143766,106282,4296,3078,137652,4097,837.0,307.2,153924,118785,5530,4172,147613,5287,907.0,376.3,141384,113843,5759,4414,135825,5488
459,110459,580.75,396.0,201.8,90924,68910,0,0,86085,0,1088.3,953.8,134287,99404,0,0,122652,0,1531.7,1279.7,143472,111516,0,0,132844,0,1838.2,1456.3,144273,116064,0,0,135086,0
460,110460,322.29,487.3,41.2,104125,75982,2574,1883,102869,2543,1472.5,2353.5,151246,109047,3435,2392,131109,2937,2113.0,3939.3,146796,111594,4104,3088,128261,3569,2463.7,4569.5,150768,118347,4348,3297,133563,3790
461,110461,316.91,366.0,87.2,104494,76419,2251,1773,101226,2195,604.0,1747.5,145967,106081,3069,2300,121120,2590,813.8,2930.5,157120,118992,3835,3049,131104,3299,925.0,3612.8,143962,113383,4100,3297,122427,3535
462,110462,610.77,683.0,855.5,99724,72959,3733,2432,88773,3201,865.0,1370.7,154317,110601,5260,3323,133550,4340,1153.8,1666.7,161841,122515,6104,4085,143639,5170,1313.8,1922.8,167422,130406,6498,4386,149968,5502
463,110463,161.31,334.8,30.0,112178,80370,3068,3603,110677,3093,358.5,14.2,156095,112682,4572,4571,155135,4572,438.2,30.3,165416,125027,5937,5787,163816,5932,505.0,252.2,167689,130816,6329,6123,159083,6281
464,110464,160.51,582.8,359.5,120048,84547,4458,4295,111020,4416,621.5,378.3,166806,118757,6107,5387,154412,5921,656.2,380.3,177434,132277,7072,6439,165834,6909,713.0,383.3,180395,138603,7244,6716,170079,7113
465,110465,317.6,936.8,43.0,114150,80707,3210,3317,113323,3213,1055.8,262.8,155473,111161,4560,4201,149958,4515,1260.2,346.2,166716,124490,5487,5118,160771,5435,1338.3,443.7,154456,119323,5758,5413,148549,5700
466,110466,323.25,150.3,300.7,115156,80977,3673,2858,97205,3245,449.5,722.3,156991,111691,4924,3592,135313,4286,571.7,1201.8,152671,114147,5575,4337,131239,4886,638.2,1441.8,157562,120889,5839,4597,136316,5119
467,110467,642.74,1572.8,471.8,108546,77452,3740,2257,104123,3529,1772.5,871.0,150979,108037,5260,3103,141570,4788,1988.3,1103.8,145011,109119,6119,3873,136083,5560,2131.0,1175.5,150314,116086,6533,4189,141701,5943
468,110468,1356.25,130.0,9829.8,123203,80091,4627,3818,81098,3837,118.5,10909.5,159322,107125,6758,5256,108099,5284,122.2,11754.0,173123,121691,7556,6107,122572,6132,137.8,12518.0,181062,130319,7931,6635,131219,6658
469,110469,189.22,515.5,513.8,146186,95201,6974,3760,128072,5832,602.0,522.0,199644,133658,9489,5417,177791,8140,667.0,541.0,193006,135748,11117,6689,174337,9674,721.0,547.2,199852,144100,11026,6874,182217,9713
470,110470,78.15,270.7,332.7,142556,90549,11639,5951,121515,9338,288.5,515.3,185344,121934,14490,8151,153325,11289,308.8,611.0,198260,136432,16047,10021,164790,12785,294.2,889.3,207440,146096,15961,10482,167676,12409
471,110471,267.2,753.0,3098.3,136170,86324,10051,4705,101545,6338,941.3,3148.3,176665,116139,11920,6238,136939,8190,1112.3,3108.2,188988,129911,13630,7893,152064,10044,1261.5,2931.5,197677,138969,13924,8374,163262,10670
472,110472,226.04,1054.2,1105.8,139736,88085,17978,7246,120777,14039,1391.8,1495.8,179447,117692,21341,10117,155961,17072,1685.8,1820.2,192196,131851,23450,12291,168557,19079,1869.7,2110.8,200509,140922,24687,13418,176218,20093
473,110473,260.91,562.2,1687.5,148622,92618,15643,6563,113676,9977,640.7,1978.3,190317,123997,18488,8969,147997,12414,713.5,2045.0,201204,137386,20595,11113,160939,14613,768.8,2150.7,211049,147798,21389,12097,171178,15532
474,110474,161.02,0.0,63.7,140243,91339,8271,4666,91339,4666,0.0,64.0,181314,122874,10032,6019,122874,6019,0.0,64.0,192845,137593,11247,7452,137593,7452,0.0,64.0,198910,145768,11129,7717,145768,7717
475,110475,314.45,0.0,585.0,148321,95377,0,0,95377,0,0.0,2667.3,199917,132858,0,0,132858,0,0.0,4871.3,213162,148455,0,0,148455,0,0.0,7077.8,201926,144033,0,0,144033,0
476,110476,136.27,0.0,17.2,157573,100587,0,0,100587,0,0.0,24.3,208911,137933,0,0,137933,0,0.0,25.7,204188,141587,0,0,141587,0,0.0,26.3,212966,151173,0,0,151173,0
477,110477,294.37,0.0,89.8,143619,92184,0,0,92184,0,0.0,90.0,193155,128290,0,0,128290,0,0.0,90.0,205151,142901,0,0,142901,0,0.0,90.0,192976,137912,0,0,137912,0
478,110478,3818.87,0.0,0.2,113124,74722,0,0,74722,0,0.0,24.3,144521,98040,0,0,98040,0,0.0,24.8,153695,108751,0,0,108751,0,0.0,25.5,161506,116927,0,0,116927,0
479,110479,395.89,231.8,198.3,135606,84400,8400,2376,119164,6466,237.5,201.8,174390,112995,9700,3463,154332,7662,242.3,202.0,186875,126560,10982,4449,166843,8812,245.7,202.0,195943,135857,11266,4944,175883,9155
480,110480,1178.0,0.0,21282.0,142826,84786,6235,3505,84786,3505,0.0,21282.0,176579,109814,7665,4804,109814,4804,0.0,21282.0,190569,125067,8860,6092,125067,6092,0.0,21282.0,201338,135783,9583,6960,135783,6960
481,110481,1339.22,464.3,103.3,132383,87291,0,0,127444,0,746.5,162.0,177419,119011,0,0,170979,0,1052.7,297.2,185100,131031,0,0,177307,0,1367.7,521.5,196344,141154,0,0,185935,0
