FID,TAZID,CO_TAZID,DEVACRES,SA_2016,HH_19,JOB_19,JOBAUTO_19,HHAUTO_19,JOBTRANSIT_19,HHTRANSIT_19,COMPAUTO_19,COMPTRANSIT_19,HH_30,JOB_30,JOBAUTO_30,HHAUTO_30,JOBTRANSIT_30,HHTRANSIT_30,COMPAUTO_30,COMPTRANSIT_30,HH_40,JOB_40,JOBAUTO_40,HHAUTO_40,JOBTRANSIT_40,HHTRANSIT_40,COMPAUTO_40,COMPTRANSIT_40,HH_50,JOB_50,JOBAUTO_50,HHAUTO_50,JOBTRANSIT_50,HHTRANSIT_50,COMPAUTO_50,COMPTRANSIT_50,SHAPE_Length,SHAPE_Area
2603,2671,492671,935.75,0,85,96,85606.8453773,52556.7362894,0,0,45780.1954683,0,87,108.1,102363.859249,77854.7512856,0,0,61687.5358269,0,134,348.2,119052.373155,102669.135606,0,0,85706.1781293,0,1282,2530.8,115382.391975,126803.581962,12174.8849841,8446.04929998,95366.6441308,7522.88305977,11370.6234682509,6488199.48977179
2604,2666,492666,845.96,0,35,25,88290.438191,53607.4885094,0,0,46005.9013804,0,35,25.1,98717.9169339,69469.8074303,0,0,54969.5646555,0,36,26.3,117747.23748,93910.060146,0,0,70751.2813189,0,250,844.1,105218.067041,109798.642156,0,0,90880.155794,0,10919.7296112195,5868607.53227535
2605,1800,491800,657.78,0,0,27,26.860572,2.94422770863e-231,0,0,2.94422770863e-231,0,0,27.1,26.9600556,3.62287149504e-231,0,0,3.62287149504e-231,0,0,29.3,74557.9365023,67144.4463288,0,0,67144.4463288,0,43,401.2,114127.103455,107353.258011,0,0,99702.5788615,0,8543.80404068255,4580722.73440635
2606,2673,492673,769.99,0,27,18,74563.4982903,47647.2573771,0,0,39325.5221376,0,27,18.1,86030.7691043,65394.6367918,0,0,48907.5082802,0,27,18.2,102263.031601,86987.5341225,0,0,62425.7752844,0,620,505,96201.5034781,105496.38009,0,0,68082.2365685,0,9270.80579355659,5343150.56833115
2607,269,570269,1020.03,7,241.7,135.2,61217.7761183,54287.6488338,0,0,35272.3170243,0,491.3,204,81968.0054477,74298.9122099,0,0,47002.6740219,0,727.2,171.7,85277.3901229,85862.7068199,0,0,49334.5919708,0,870.5,185.4,92036.921921,95252.084895,0,0,54168.1869949,0,10845.9346848886,7318577.81940697
2608,2863,492863,2562.49,0,30,31,26595.187278,19292.2608683,0,0,15154.2200245,0,31,31.1,28451.5871784,24100.0425246,0,0,17612.0246066,0,31,32.3,36706.4957339,32762.7181824,0,0,24052.8818541,0,31,38.3,45419.05068,42462.8106011,0,0,31614.1904156,0,17158.9356434527,17721041.9613743
2609,71,30071,198.15,10,588.5,710.8,54164.0714644,36840.7298687,6667.64678756,4214.45839438,30404.4517555,3623.45820724,588.5,708.6,57842.3464379,42578.3115891,7706.01787606,5100.10757983,34213.2314042,4341.93873807,588.5,707.1,64624.7786002,50000.3796969,7913.4741626,5561.33800461,40162.8539876,4700.82074894,588.5,706.8,63433.2608584,52820.8361012,8042.39311735,5948.73587699,41439.1228777,4960.37690859,5162.37957974869,1431226.84249758
2610,107,30107,205.05,10,23.9,11,67815.328924,47157.6549483,6099.51646004,4010.24481844,35845.3824697,3181.42322204,37.6,9.6,71460.9672414,53953.5507528,7053.14565307,4919.69514969,38045.876033,3708.89028119,47.9,13.3,80068.994177,63645.6640963,7089.43356832,5369.64470675,44814.0515268,3934.08783654,62.7,26.6,79569.6966766,67437.4364403,7209.28920768,5806.92965526,47345.9545878,4233.42255592,4999.54869466634,1483106.93540126
2611,132,30132,280.1,10,1.2,25.9,87432.5130449,61782.3446439,0,0,60155.520519,0,1.3,25.9,95286.6252553,72369.9631627,0,0,70162.0832854,0,1.9,27,106259.318354,84969.4185886,0,0,81527.1045328,0,4.4,33.8,105734.782525,90898.8148335,0,0,84255.4072999,0,6846.59004396641,2018959.83062623
2612,158,570158,760.9,9,234.8,123.5,87360.4872923,64341.8051826,0,0,47287.4114203,0,347.3,156.5,92906.780443,73003.5563758,0,0,51650.7795652,0,435.7,147.7,102778.539594,85793.5732902,0,0,58804.8793829,0,482.8,141.2,103244.927956,92781.8738256,0,0,60554.7696055,0,11288.5260959704,6029552.94537374
2613,147,570147,577.34,9,135.2,118.9,89940.5769286,65286.4470287,0,0,50523.6984425,0,287.7,120,98693.1419236,76582.1081976,0,0,54383.0441063,0,390.3,178.6,109419.173543,90364.5527657,0,0,63859.2504217,0,454.3,119.4,109986.927624,97534.0556184,0,0,63868.1497223,0,8792.13635355546,4147197.83512458
2614,156,570156,782.02,9,109,48.4,83196.0649807,60861.9408981,0,0,44422.9981761,0,112.5,51.2,89906.7052398,68550.409838,0,0,49630.0692888,0,113,125.3,99416.7008519,80518.0479487,0,0,62644.4952284,0,151.5,145.1,99204.5448084,86597.5602312,0,0,64626.9891977,0,9923.59274965836,5626223.30959658
2615,168,570168,863.48,9,99.8,55.9,102743.345604,75320.9460956,0,0,55802.0780099,0,117.8,70.5,120469.145401,89669.2766914,0,0,67401.9885504,0,135.5,320.3,133800.778638,105292.131265,0,0,89682.5580822,0,278.7,286.6,134920.968068,113649.683689,0,0,87156.1642614,0,12664.2135421926,6263444.1435303
2616,171,570171,893.54,9,52.2,80.6,107655.621511,76763.6791015,0,0,63158.6627525,0,163.7,102,124090.443719,90527.6964031,0,0,69205.7227269,0,237.5,77.1,135863.775119,107177.670103,0,0,76596.3881184,0,277.3,79,134118.929984,112885.13078,0,0,77500.4147686,0,13844.7017901396,6571138.94057754
